,hour,dhi,dni,windspeed,humidity,temp,pv
0,0,0.0,0.0,1.5,69.07,-12.0,0.0
1,1,0.0,0.0,1.6,71.765,-12.0,0.0
2,2,0.0,0.0,1.55,72.245,-11.5,0.0
3,3,0.0,0.0,1.45,72.555,-11.0,0.0
4,4,0.0,0.0,1.3,74.61500000000001,-11.0,0.0
5,5,0.0,0.0,1.3,73.735,-11.0,0.0
6,6,0.0,0.0,1.4,72.22,-12.0,0.0
7,7,0.0,0.0,1.5,67.55,-11.0,0.0
8,8,45.0,250.5,1.85,60.675,-8.0,0.32380395274999996
9,9,62.5,777.0,2.0,55.269999999999996,-5.0,1.2951699147500002
10,10,158.0,296.0,1.85,55.980000000000004,-3.0,1.2622955685000001
11,11,191.0,312.5,2.15,58.42,-3.0,1.5461947575
12,12,201.5,85.0,2.75,59.185,-3.0,1.128557934
13,13,198.0,107.5,3.1500000000000004,63.27,-4.0,1.14734073675
14,14,129.5,35.5,2.85,62.845,-4.0,0.66165662125
15,15,67.5,19.5,2.35,68.55,-5.0,0.335524597875
16,16,25.5,5.5,2.0,70.275,-6.0,0.124356637125
17,17,0.0,0.0,2.0,71.34,-7.0,0.0
18,18,0.0,0.0,2.1500000000000004,76.435,-8.0,0.0
19,19,0.0,0.0,2.25,76.72,-8.0,0.0
20,20,0.0,0.0,2.1,77.51,-8.0,0.0
21,21,0.0,0.0,1.85,83.46,-9.0,0.0
22,22,0.0,0.0,1.75,83.36,-9.0,0.0
23,23,0.0,0.0,1.65,90.85499999999999,-10.0,0.0
24,0,0.0,0.0,1.6,90.67,-10.0,0.0
25,1,0.0,0.0,1.6,88.11,-11.0,0.0
26,2,0.0,0.0,1.6,90.845,-11.0,0.0
27,3,0.0,0.0,1.7,93.775,-12.0,0.0
28,4,0.0,0.0,1.65,90.46,-12.0,0.0
29,5,0.0,0.0,1.6,87.34,-12.0,0.0
30,6,0.0,0.0,1.7,84.96,-12.0,0.0
31,7,0.0,0.0,1.9,76.975,-11.0,0.0
